Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
23a.sql	197	189	0	13397	922	24268	0	399127006	6396	53	50	618	49	0.06027642528246436	0.3903225806451613	1.7077024317994005
22d.sql	258	140	0	351811	53926	626360	0	2700837503	45048	197	165	46281	1252	0.038436682169880325	0.15864214343368144	1.1257375765248507
22c.sql	212	162	0	192626	10822	329467	0	1784539163	31249	134	118	21489	658	0.03457121831147304	0.17359271926762318	1.1257440246919688
22b.sql	169	141	0	62655	6472	121691	0	3048819101	15814	217	189	31	243	0.0034501819069072685	0.16884204265506883	1.113799650811138
22a.sql	182	143	1	117304	22128	214787	0	1098000317	34008	136	116	2851	429	0.008643005303760632	0.16886295152288675	1.1110170471239937
21c.sql	279	267	0	32910	2555	60584	0	798607080	10023	125	109	1874	121	0.03375027185724686	0.2090000000002913	1.3043142594047057
21b.sql	150	144	0	7817	886	15320	0	461680458	4420	35	32	38	31	0.022959537682671147	0.11537162732583663	1.2899355708895635
21a.sql	3308	192	0	31563	5286	58976	0	1028518578	15032	123	111	1410	118	0.03293704163860752	0.16500000000017384	1.9123552061027782
20c.sql	272	169	0	313374	25563	600027	0	310947217	19939	291	223	5406	1201	0.006161282416660778	0.34396251572696934	1.6886934244905725
20b.sql	266	257	0	12237	2378	23946	0	225252054	2194	51	48	17	47	0.01707262976979187	0.3056135126175811	1.8226792672495917
20a.sql	251	243	0	11591	2122	21305	0	23786397	1958	46	43	33	42	0.02665343841719608	0.2944734554241697	1.5950012836765042
1d.sql	140	136	0	1268	136	2544	0	12683636	594	8	6	4	5	0.08951219814110459	0.44734303202182657	1.0004337196952175
1c.sql	84	80	0	1296	52	2568	0	3568246	564	8	6	3	5	0.10227836829282758	0.5029909422587109	2.0160902753000043
1b.sql	136	132	0	1273	124	2537	0	11555720	335	8	6	3	5	0.08956241274828873	0.44734004334210065	1.8950437373663238
1a.sql	73	68	0	2147	315	3841	0	7200929	1061	9	7	142	7	0.12073085897872408	0.553937650011384	2.022495668676585
19d.sql	2080	131	8	9746516	138885	16776911	0	7054292510	3678100	1302	831	1760645	33554	0.05391325032464084	0.437	1.9923420338636002
19c.sql	270	247	0	99160	8972	189443	0	182592094	61703	136	116	3575	379	0.017572568461645434	0.35441176470588237	1.684485680545394
19b.sql	248	242	0	3670	375	7245	0	65186205	2485	18	15	15	14	0.05877049668970917	0.4279401953133027	2.3569006390465628
19a.sql	254	247	0	13649	1049	26444	0	218997265	9725	48	43	184	53	0.04297693180658536	0.34063994704968015	1.684856430566785
18c.sql	251	152	0	496457	38727	934326	0	33427206576	198584	117	81	28073	1868	0.01687074384064901	0.2638503030363212	2.0025515862953265
18b.sql	275	268	0	21639	1333	42776	0	311501201	18585	32	25	11	86	0.022275087540389087	0.3354910557250773	2.0151727547451372
18a.sql	274	253	0	86650	15146	161769	0	138002693	14588	74	35	410	323	0.010008447533289543	0.3973026267545938	1.5910425825032573
17f.sql	896	98	2	3538765	60567	6237679	0	1893656898	67170	97	51	1113120	12475	0.08955132120345696	0.25507319627682523	1.9999806205218684
17e.sql	1599	4	7	6060756	53633	12044870	0	2558818417	29444	162	99	2832555	24089	0.11783187277719512	0.4112566036122014	2.00028660145701
17d.sql	393	77	0	1369120	7271	2728636	0	1906659405	26251	141	99	11538	5458	0.0028581517136959185	0.322296186290179	2.0960279921728384
17c.sql	794	53	0	3982611	16330	7952415	0	2159492011	1312093	177	112	1918	15905	3.974925218436517E-4	0.2786468620459636	2.949218736677886
17b.sql	413	52	1	1432192	94367	2821441	0	1805608741	12003	133	91	52306	5642	0.009917905452168238	0.2586078731096301	2.000498996980263
17a.sql	793	65	1	2976599	5926	5894052	0	2373547048	30353	117	75	258289	11788	0.02227106936080018	0.2247128916524961	2.00015528507905
16d.sql	227	44	2	725988	67435	1331489	0	1773294011	182044	92	57	249455	2663	0.0952486009568335	0.27020476575865915	1.9984491474296184
16c.sql	273	44	1	1062062	58527	1992529	0	1688860853	184286	106	86	319932	3986	0.08127021787867243	0.46921828282261874	2.001205730166454
16b.sql	2644	3	18	9766969	1256464	17409796	0	2612228363	3894796	135	92	3710592	34819	0.10677362875352446	0.4	1.999871200875149
16a.sql	30	12	1	85085	6342	169635	0	16358483	73416	69	56	385	340	0.01000269484295593	0.43603904308123964	1.004971090600568
15d.sql	130	115	0	56588	3408	101338	0	750914904	16630	86	73	11347	202	0.072504769379781	0.2723770921546824	1.0015951755140384
15c.sql	238	230	0	14762	1045	26310	0	570015947	5191	45	38	2271	52	0.08084168963125456	0.5618259449439111	1.0018601024202278
