Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
4c.sql	282	258	23	0	60	22	35908	0	66904	0	166753581	9520	13	7	4700	133	0.006295986795711515	0.14147669557155504	1.0004764531397747
4b.sql	78	72	5	0	46	5	2857	0	5699	0	2858187	668	11	6	6	11	0.08583111614991436	0.413028222254514	1.6768366554322678
4a.sql	191	176	13	0	52	13	18488	0	36104	0	139060348	4738	11	7	740	72	0.010612990965965796	0.23046836170006763	1.0007131010810502
3c.sql	279	260	17	0	138	16	29845	0	58548	0	113305282	14727	10	5	7250	117	0.007639215181684585	0.1958244726939931	1.0003349842066285
3b.sql	72	67	4	0	42	4	4625	0	9243	0	2915862	908	9	5	5	18	0.11947585512650297	0.5319148936170213	1.0006907864024155
3a.sql	270	164	104	0	102	104	375717	0	751115	0	79939715	74672	13	6	206	1503	0.004877334368916117	0.8994413407821229	1.0002376809269296
33c.sql	159	128	26	0	55	26	47250	0	93060	0	1393021776	38766	79	69	114	186	0.02718096686662447	0.6103442541160818	1.9975787822676574
33b.sql	145	130	12	0	43	11	9209	0	18132	0	38600496	6287	39	38	4	37	0.03595350482138193	0.18563052230538518	1.7625818484744662
33a.sql	136	119	13	0	51	13	12130	0	23248	0	11993142	2051	47	47	8	46	0.0205880756357745	0.15467733866933467	1.006997941372573
32b.sql	88	0	87	0	0	86	436243	0	865952	0	98147929	42637	52	25	4388	1731	0.003420748951911805	0.36670290912577774	1.224246981931311
32a.sql	3	1	1	0	1	1	754	0	1506	0	40909	40	5	4	0	3	6.328292639079953E-4	0.0010149294141441887	1.0008334166750008
31c.sql	356	259	92	0	104	91	159960	0	313980	0	484288727	27587	140	131	2825	628	0.0022572482632162486	0.24557224012262163	1.022185835191999
31b.sql	381	357	17	0	230	16	12666	0	23844	0	135314389	2720	49	49	84	48	0.05139026347486587	0.5896602951773188	1.0261931635537596
31a.sql	447	226	215	1	101	215	438720	0	872488	0	5349555393	191213	165	133	1273	1744	0.003823030166147701	0.43051558384984995	1.9997686460241233
30c.sql	327	196	125	0	69	123	249251	0	455159	0	1533911960	150850	137	119	8024	911	0.0019231553891612607	0.020142096631958206	1.0240297770081221
30b.sql	318	294	17	0	170	17	15148	0	27486	0	135546574	5847	57	55	28	55	0.04272729073917498	0.5686822284923458	1.0152571660967609
30a.sql	313	212	95	0	86	95	179570	0	337171	0	1430867833	145921	258	235	757	674	0.0026627439721283582	0.018805038550887193	1.0645207493933704
2d.sql	117	5	110	1	1	105	301603	0	570180	0	1752733363	27155	10	6	68316	1140	0.00529867487274216	0.41460531185215016	1.998473330382072
2c.sql	3	0	2	0	0	2	1048	0	2014	0	2596791	465	6	5	0	4	3.622851322884723E-4	0.0013318180073203245	1.0001163460588058
2b.sql	87	1	85	0	0	85	240002	0	475553	0	1754798787	27154	15	7	5228	951	0.0065507365263690965	0.6257593094705632	2.0020260126491487
2a.sql	86	2	83	0	1	82	207587	0	415160	0	1752497286	13800	11	8	7834	831	0.007822346399929016	0.8259049357468476	2.0001239993376716
29c.sql	1946	256	1682	0	170	1680	3906705	0	6644530	0	194999806194	484598	6555	6183	16308	13289	4.4787701565903983E-4	0.6815270030214058	4.056597461509843
29b.sql	224	183	34	0	109	34	23958	0	43422	0	76483057	5316	88	87	15	86	0.03223061649167928	0.6893270952438082	2.509471898752723
29a.sql	1948	202	1736	0	130	1735	3656238	0	6359484	0	1042515069	553367	7587	7581	1620	12718	0.0010321294702280337	0.684852772973858	2.9426378793921137
28c.sql	456	333	116	0	182	115	215522	0	393463	0	8416230935	161760	344	327	8373	786	0.002104311014029645	0.3431662915136437	1.1382711548866864
28b.sql	293	186	101	0	112	100	161823	0	319229	0	9718284670	96735	410	376	148	638	0.007059164281254916	0.6673333432100228	2.8458796150699146
28a.sql	526	350	168	1	234	168	373702	0	663978	0	16313306501	123942	547	469	4803	1327	0.00254723619328603	0.6667752641974303	2.168723785139773
27c.sql	363	342	16	0	165	16	18295	0	33971	0	918792359	5223	66	60	743	68	0.015941988151087202	0.2397135941912061	1.0860317743078205
27b.sql	214	196	13	0	49	13	12358	0	22504	0	917944899	3411	48	47	247	46	0.023808399874257768	0.20369436600779883	1.0945155141853478
27a.sql	280	261	14	0	108	14	15133	0	26878	0	890278418	5293	54	54	477	53	0.020390937029082602	0.22898404701931152	1.0885747625750015
